condition,cultivation,day,species,replicate,distribution_pct
Dysbiotic,Static,1,A. naeslundii,1,1.0
Dysbiotic,Static,1,A. naeslundii,2,0.30000000000000027
Dysbiotic,Static,1,A. naeslundii,3,3.0
Dysbiotic,Static,1,A. naeslundii,4,6.2
Dysbiotic,Static,1,A. naeslundii,5,8.0
Dysbiotic,Static,1,A. naeslundii,6,9.8
Dysbiotic,Static,1,A. naeslundii,7,12.0
Dysbiotic,Static,1,A. naeslundii,8,14.7
Dysbiotic,Static,1,A. naeslundii,9,17.0
Dysbiotic,Static,1,V. parvula,1,34.0
Dysbiotic,Static,1,V. parvula,2,42.7
Dysbiotic,Static,1,V. parvula,3,49.0
Dysbiotic,Static,1,V. parvula,4,56.8
Dysbiotic,Static,1,V. parvula,5,61.0
Dysbiotic,Static,1,V. parvula,6,65.2
Dysbiotic,Static,1,V. parvula,7,70.0
Dysbiotic,Static,1,V. parvula,8,76.3
Dysbiotic,Static,1,V. parvula,9,80.0
Dysbiotic,Static,1,F. nucleatum,1,1.0
Dysbiotic,Static,1,F. nucleatum,2,0.30000000000000027
Dysbiotic,Static,1,F. nucleatum,3,3.0
Dysbiotic,Static,1,F. nucleatum,4,6.2
Dysbiotic,Static,1,F. nucleatum,5,8.0
Dysbiotic,Static,1,F. nucleatum,6,9.8
Dysbiotic,Static,1,F. nucleatum,7,12.0
Dysbiotic,Static,1,F. nucleatum,8,14.7
Dysbiotic,Static,1,F. nucleatum,9,17.0
Dysbiotic,Static,1,P. gingivalis_W83,1,1.0
Dysbiotic,Static,1,P. gingivalis_W83,2,0.30000000000000027
Dysbiotic,Static,1,P. gingivalis_W83,3,3.0
Dysbiotic,Static,1,P. gingivalis_W83,4,6.2
Dysbiotic,Static,1,P. gingivalis_W83,5,8.0
Dysbiotic,Static,1,P. gingivalis_W83,6,9.8
Dysbiotic,Static,1,P. gingivalis_W83,7,12.0
Dysbiotic,Static,1,P. gingivalis_W83,8,14.7
Dysbiotic,Static,1,P. gingivalis_W83,9,17.0
Dysbiotic,Static,3,S. oralis,1,2.0
Dysbiotic,Static,3,S. oralis,2,1.7000000000000002
Dysbiotic,Static,3,S. oralis,3,5.0
Dysbiotic,Static,3,S. oralis,4,8.8
Dysbiotic,Static,3,S. oralis,5,11.0
Dysbiotic,Static,3,S. oralis,6,13.2
Dysbiotic,Static,3,S. oralis,7,16.0
Dysbiotic,Static,3,S. oralis,8,19.3
Dysbiotic,Static,3,S. oralis,9,22.0
Dysbiotic,Static,3,A. naeslundii,1,1.0
Dysbiotic,Static,3,A. naeslundii,2,0.20000000000000018
Dysbiotic,Static,3,A. naeslundii,3,2.0
Dysbiotic,Static,3,A. naeslundii,4,3.8
Dysbiotic,Static,3,A. naeslundii,5,5.0
Dysbiotic,Static,3,A. naeslundii,6,6.2
Dysbiotic,Static,3,A. naeslundii,7,8.0
Dysbiotic,Static,3,A. naeslundii,8,9.8
Dysbiotic,Static,3,A. naeslundii,9,12.0
Dysbiotic,Static,3,V. parvula,1,33.0
Dysbiotic,Static,3,V. parvula,2,40.0
Dysbiotic,Static,3,V. parvula,3,46.0
Dysbiotic,Static,3,V. parvula,4,53.0
Dysbiotic,Static,3,V. parvula,5,57.0
Dysbiotic,Static,3,V. parvula,6,61.0
Dysbiotic,Static,3,V. parvula,7,66.0
Dysbiotic,Static,3,V. parvula,8,72.0
Dysbiotic,Static,3,V. parvula,9,77.0
Dysbiotic,Static,3,F. nucleatum,1,2.0
Dysbiotic,Static,3,F. nucleatum,2,1.7000000000000002
Dysbiotic,Static,3,F. nucleatum,3,5.0
Dysbiotic,Static,3,F. nucleatum,4,8.8
Dysbiotic,Static,3,F. nucleatum,5,11.0
Dysbiotic,Static,3,F. nucleatum,6,13.2
Dysbiotic,Static,3,F. nucleatum,7,16.0
Dysbiotic,Static,3,F. nucleatum,8,19.3
Dysbiotic,Static,3,F. nucleatum,9,22.0
Dysbiotic,Static,3,P. gingivalis_W83,1,2.0
Dysbiotic,Static,3,P. gingivalis_W83,2,2.4000000000000004
Dysbiotic,Static,3,P. gingivalis_W83,3,6.0
Dysbiotic,Static,3,P. gingivalis_W83,4,10.6
Dysbiotic,Static,3,P. gingivalis_W83,5,13.0
Dysbiotic,Static,3,P. gingivalis_W83,6,15.4
Dysbiotic,Static,3,P. gingivalis_W83,7,18.0
Dysbiotic,Static,3,P. gingivalis_W83,8,21.6
Dysbiotic,Static,3,P. gingivalis_W83,9,24.0
Dysbiotic,Static,6,S. oralis,1,1.0
Dysbiotic,Static,6,S. oralis,2,0.30000000000000027
Dysbiotic,Static,6,S. oralis,3,3.0
Dysbiotic,Static,6,S. oralis,4,5.2
Dysbiotic,Static,6,S. oralis,5,7.0
Dysbiotic,Static,6,S. oralis,6,8.8
Dysbiotic,Static,6,S. oralis,7,12.0
Dysbiotic,Static,6,S. oralis,8,14.7
Dysbiotic,Static,6,S. oralis,9,16.0
Dysbiotic,Static,6,A. naeslundii,1,1.0
Dysbiotic,Static,6,A. naeslundii,2,0.20000000000000018
Dysbiotic,Static,6,A. naeslundii,3,2.0
Dysbiotic,Static,6,A. naeslundii,4,3.8
Dysbiotic,Static,6,A. naeslundii,5,5.0
Dysbiotic,Static,6,A. naeslundii,6,6.2
Dysbiotic,Static,6,A. naeslundii,7,8.0
Dysbiotic,Static,6,A. naeslundii,8,9.8
Dysbiotic,Static,6,A. naeslundii,9,12.0
Dysbiotic,Static,6,V. parvula,1,26.0
Dysbiotic,Static,6,V. parvula,2,33.4
Dysbiotic,Static,6,V. parvula,3,40.0
Dysbiotic,Static,6,V. parvula,4,47.6
Dysbiotic,Static,6,V. parvula,5,52.0
Dysbiotic,Static,6,V. parvula,6,56.4
Dysbiotic,Static,6,V. parvula,7,62.0
Dysbiotic,Static,6,V. parvula,8,68.6
Dysbiotic,Static,6,V. parvula,9,74.0
Dysbiotic,Static,6,F. nucleatum,1,2.0
Dysbiotic,Static,6,F. nucleatum,2,2.4000000000000004
Dysbiotic,Static,6,F. nucleatum,3,6.0
Dysbiotic,Static,6,F. nucleatum,4,10.6
Dysbiotic,Static,6,F. nucleatum,5,13.0
Dysbiotic,Static,6,F. nucleatum,6,15.4
Dysbiotic,Static,6,F. nucleatum,7,18.0
Dysbiotic,Static,6,F. nucleatum,8,21.6
Dysbiotic,Static,6,F. nucleatum,9,24.0
Dysbiotic,Static,6,P. gingivalis_W83,1,3.0
Dysbiotic,Static,6,P. gingivalis_W83,2,4.5
Dysbiotic,Static,6,P. gingivalis_W83,3,9.0
Dysbiotic,Static,6,P. gingivalis_W83,4,14.0
Dysbiotic,Static,6,P. gingivalis_W83,5,17.0
Dysbiotic,Static,6,P. gingivalis_W83,6,20.0
Dysbiotic,Static,6,P. gingivalis_W83,7,24.0
Dysbiotic,Static,6,P. gingivalis_W83,8,28.5
Dysbiotic,Static,6,P. gingivalis_W83,9,32.0
Dysbiotic,Static,10,S. oralis,1,1.0
Dysbiotic,Static,10,S. oralis,2,0.20000000000000018
Dysbiotic,Static,10,S. oralis,3,2.0
Dysbiotic,Static,10,S. oralis,4,3.8
Dysbiotic,Static,10,S. oralis,5,5.0
Dysbiotic,Static,10,S. oralis,6,6.2
Dysbiotic,Static,10,S. oralis,7,8.0
Dysbiotic,Static,10,S. oralis,8,9.8
Dysbiotic,Static,10,S. oralis,9,12.0
Dysbiotic,Static,10,A. naeslundii,1,1.0
Dysbiotic,Static,10,A. naeslundii,2,0.20000000000000018
Dysbiotic,Static,10,A. naeslundii,3,2.0
Dysbiotic,Static,10,A. naeslundii,4,3.8
Dysbiotic,Static,10,A. naeslundii,5,5.0
Dysbiotic,Static,10,A. naeslundii,6,6.2
Dysbiotic,Static,10,A. naeslundii,7,8.0
Dysbiotic,Static,10,A. naeslundii,8,9.8
Dysbiotic,Static,10,A. naeslundii,9,12.0
Dysbiotic,Static,10,V. parvula,1,22.0
Dysbiotic,Static,10,V. parvula,2,28.4
Dysbiotic,Static,10,V. parvula,3,35.0
Dysbiotic,Static,10,V. parvula,4,42.6
Dysbiotic,Static,10,V. parvula,5,47.0
Dysbiotic,Static,10,V. parvula,6,51.4
Dysbiotic,Static,10,V. parvula,7,57.0
Dysbiotic,Static,10,V. parvula,8,63.6
Dysbiotic,Static,10,V. parvula,9,68.0
Dysbiotic,Static,10,F. nucleatum,1,3.0
Dysbiotic,Static,10,F. nucleatum,2,3.8
Dysbiotic,Static,10,F. nucleatum,3,8.0
Dysbiotic,Static,10,F. nucleatum,4,13.2
Dysbiotic,Static,10,F. nucleatum,5,16.0
Dysbiotic,Static,10,F. nucleatum,6,18.8
Dysbiotic,Static,10,F. nucleatum,7,22.0
Dysbiotic,Static,10,F. nucleatum,8,26.2
Dysbiotic,Static,10,F. nucleatum,9,28.0
Dysbiotic,Static,10,P. gingivalis_W83,1,4.0
Dysbiotic,Static,10,P. gingivalis_W83,2,7.2
Dysbiotic,Static,10,P. gingivalis_W83,3,12.0
Dysbiotic,Static,10,P. gingivalis_W83,4,17.8
Dysbiotic,Static,10,P. gingivalis_W83,5,21.0
Dysbiotic,Static,10,P. gingivalis_W83,6,24.2
Dysbiotic,Static,10,P. gingivalis_W83,7,28.0
Dysbiotic,Static,10,P. gingivalis_W83,8,32.8
Dysbiotic,Static,10,P. gingivalis_W83,9,36.0
Dysbiotic,Static,15,S. oralis,1,1.0
Dysbiotic,Static,15,S. oralis,2,0.5
Dysbiotic,Static,15,S. oralis,3,2.0
Dysbiotic,Static,15,S. oralis,4,3.0
Dysbiotic,Static,15,S. oralis,5,4.0
Dysbiotic,Static,15,S. oralis,6,5.0
Dysbiotic,Static,15,S. oralis,7,7.0
Dysbiotic,Static,15,S. oralis,8,8.5
Dysbiotic,Static,15,S. oralis,9,10.0
Dysbiotic,Static,15,A. naeslundii,1,1.0
Dysbiotic,Static,15,A. naeslundii,2,0.30000000000000027
Dysbiotic,Static,15,A. naeslundii,3,3.0
Dysbiotic,Static,15,A. naeslundii,4,6.2
Dysbiotic,Static,15,A. naeslundii,5,8.0
Dysbiotic,Static,15,A. naeslundii,6,9.8
Dysbiotic,Static,15,A. naeslundii,7,12.0
Dysbiotic,Static,15,A. naeslundii,8,14.7
Dysbiotic,Static,15,A. naeslundii,9,17.0
Dysbiotic,Static,15,V. parvula,1,17.0
Dysbiotic,Static,15,V. parvula,2,23.4
Dysbiotic,Static,15,V. parvula,3,30.0
Dysbiotic,Static,15,V. parvula,4,37.6
Dysbiotic,Static,15,V. parvula,5,42.0
Dysbiotic,Static,15,V. parvula,6,46.4
Dysbiotic,Static,15,V. parvula,7,52.0
Dysbiotic,Static,15,V. parvula,8,58.6
Dysbiotic,Static,15,V. parvula,9,63.0
Dysbiotic,Static,15,F. nucleatum,1,3.0
Dysbiotic,Static,15,F. nucleatum,2,5.8
Dysbiotic,Static,15,F. nucleatum,3,10.0
Dysbiotic,Static,15,F. nucleatum,4,15.2
Dysbiotic,Static,15,F. nucleatum,5,18.0
Dysbiotic,Static,15,F. nucleatum,6,20.8
Dysbiotic,Static,15,F. nucleatum,7,24.0
Dysbiotic,Static,15,F. nucleatum,8,28.2
Dysbiotic,Static,15,F. nucleatum,9,32.0
Dysbiotic,Static,15,P. gingivalis_W83,1,5.0
Dysbiotic,Static,15,P. gingivalis_W83,2,7.9
Dysbiotic,Static,15,P. gingivalis_W83,3,13.0
Dysbiotic,Static,15,P. gingivalis_W83,4,18.6
Dysbiotic,Static,15,P. gingivalis_W83,5,22.0
Dysbiotic,Static,15,P. gingivalis_W83,6,25.4
Dysbiotic,Static,15,P. gingivalis_W83,7,30.0
Dysbiotic,Static,15,P. gingivalis_W83,8,35.1
Dysbiotic,Static,15,P. gingivalis_W83,9,40.0
Dysbiotic,Static,21,S. oralis,1,1.0
Dysbiotic,Static,21,S. oralis,2,0.5
Dysbiotic,Static,21,S. oralis,3,2.0
Dysbiotic,Static,21,S. oralis,4,3.0
Dysbiotic,Static,21,S. oralis,5,4.0
Dysbiotic,Static,21,S. oralis,6,5.0
Dysbiotic,Static,21,S. oralis,7,7.0
Dysbiotic,Static,21,S. oralis,8,8.5
Dysbiotic,Static,21,S. oralis,9,10.0
Dysbiotic,Static,21,A. naeslundii,1,1.0
Dysbiotic,Static,21,A. naeslundii,2,0.7000000000000002
Dysbiotic,Static,21,A. naeslundii,3,4.0
Dysbiotic,Static,21,A. naeslundii,4,7.8
Dysbiotic,Static,21,A. naeslundii,5,10.0
Dysbiotic,Static,21,A. naeslundii,6,12.2
Dysbiotic,Static,21,A. naeslundii,7,15.0
Dysbiotic,Static,21,A. naeslundii,8,18.3
Dysbiotic,Static,21,A. naeslundii,9,20.0
Dysbiotic,Static,21,V. parvula,1,14.0
Dysbiotic,Static,21,V. parvula,2,20.6
Dysbiotic,Static,21,V. parvula,3,26.0
Dysbiotic,Static,21,V. parvula,4,32.4
Dysbiotic,Static,21,V. parvula,5,36.0
Dysbiotic,Static,21,V. parvula,6,39.6
Dysbiotic,Static,21,V. parvula,7,44.0
Dysbiotic,Static,21,V. parvula,8,49.4
Dysbiotic,Static,21,V. parvula,9,54.0
Dysbiotic,Static,21,F. nucleatum,1,4.0
Dysbiotic,Static,21,F. nucleatum,2,7.2
Dysbiotic,Static,21,F. nucleatum,3,12.0
Dysbiotic,Static,21,F. nucleatum,4,17.8
Dysbiotic,Static,21,F. nucleatum,5,21.0
Dysbiotic,Static,21,F. nucleatum,6,24.2
Dysbiotic,Static,21,F. nucleatum,7,28.0
Dysbiotic,Static,21,F. nucleatum,8,32.8
Dysbiotic,Static,21,F. nucleatum,9,36.0
Dysbiotic,Static,21,P. gingivalis_W83,1,6.0
Dysbiotic,Static,21,P. gingivalis_W83,2,11.2
Dysbiotic,Static,21,P. gingivalis_W83,3,16.0
Dysbiotic,Static,21,P. gingivalis_W83,4,20.8
Dysbiotic,Static,21,P. gingivalis_W83,5,24.0
Dysbiotic,Static,21,P. gingivalis_W83,6,27.2
Dysbiotic,Static,21,P. gingivalis_W83,7,32.0
Dysbiotic,Static,21,P. gingivalis_W83,8,36.8
Dysbiotic,Static,21,P. gingivalis_W83,9,40.0
Dysbiotic,HOBIC,1,S. oralis,1,0.0
Dysbiotic,HOBIC,1,S. oralis,2,0.0
Dysbiotic,HOBIC,1,S. oralis,3,1.0
Dysbiotic,HOBIC,1,S. oralis,4,2.2
Dysbiotic,HOBIC,1,S. oralis,5,3.0
Dysbiotic,HOBIC,1,S. oralis,6,3.8
Dysbiotic,HOBIC,1,S. oralis,7,5.0
Dysbiotic,HOBIC,1,S. oralis,8,6.2
Dysbiotic,HOBIC,1,S. oralis,9,8.0
Dysbiotic,HOBIC,1,A. naeslundii,1,0.0
Dysbiotic,HOBIC,1,A. naeslundii,2,0.4
Dysbiotic,HOBIC,1,A. naeslundii,3,1.0
Dysbiotic,HOBIC,1,A. naeslundii,4,1.6
Dysbiotic,HOBIC,1,A. naeslundii,5,2.0
Dysbiotic,HOBIC,1,A. naeslundii,6,2.4
Dysbiotic,HOBIC,1,A. naeslundii,7,3.0
Dysbiotic,HOBIC,1,A. naeslundii,8,3.6
Dysbiotic,HOBIC,1,A. naeslundii,9,5.0
Dysbiotic,HOBIC,1,V. parvula,1,68.0
Dysbiotic,HOBIC,1,V. parvula,2,75.8
Dysbiotic,HOBIC,1,V. parvula,3,80.0
Dysbiotic,HOBIC,1,V. parvula,4,85.2
Dysbiotic,HOBIC,1,V. parvula,5,88.0
Dysbiotic,HOBIC,1,V. parvula,6,90.8
Dysbiotic,HOBIC,1,V. parvula,7,94.0
Dysbiotic,HOBIC,1,V. parvula,8,98.2
Dysbiotic,HOBIC,1,V. parvula,9,98.0
Dysbiotic,HOBIC,1,F. nucleatum,1,0.0
Dysbiotic,HOBIC,1,F. nucleatum,2,0.0
Dysbiotic,HOBIC,1,F. nucleatum,3,0.0
Dysbiotic,HOBIC,1,F. nucleatum,4,1.2
Dysbiotic,HOBIC,1,F. nucleatum,5,2.0
Dysbiotic,HOBIC,1,F. nucleatum,6,2.8
Dysbiotic,HOBIC,1,F. nucleatum,7,4.0
Dysbiotic,HOBIC,1,F. nucleatum,8,5.2
Dysbiotic,HOBIC,1,F. nucleatum,9,6.0
Dysbiotic,HOBIC,1,P. gingivalis_W83,1,0.0
Dysbiotic,HOBIC,1,P. gingivalis_W83,2,0.0
Dysbiotic,HOBIC,1,P. gingivalis_W83,3,0.0
Dysbiotic,HOBIC,1,P. gingivalis_W83,4,0.6
Dysbiotic,HOBIC,1,P. gingivalis_W83,5,1.0
Dysbiotic,HOBIC,1,P. gingivalis_W83,6,1.4
Dysbiotic,HOBIC,1,P. gingivalis_W83,7,2.0
Dysbiotic,HOBIC,1,P. gingivalis_W83,8,2.6
Dysbiotic,HOBIC,1,P. gingivalis_W83,9,4.0
Dysbiotic,HOBIC,3,S. oralis,1,1.0
Dysbiotic,HOBIC,3,S. oralis,2,0.20000000000000018
Dysbiotic,HOBIC,3,S. oralis,3,2.0
Dysbiotic,HOBIC,3,S. oralis,4,3.8
Dysbiotic,HOBIC,3,S. oralis,5,5.0
Dysbiotic,HOBIC,3,S. oralis,6,6.2
Dysbiotic,HOBIC,3,S. oralis,7,8.0
Dysbiotic,HOBIC,3,S. oralis,8,9.8
Dysbiotic,HOBIC,3,S. oralis,9,12.0
Dysbiotic,HOBIC,3,A. naeslundii,1,1.0
Dysbiotic,HOBIC,3,A. naeslundii,2,0.5
Dysbiotic,HOBIC,3,A. naeslundii,3,2.0
Dysbiotic,HOBIC,3,A. naeslundii,4,3.0
Dysbiotic,HOBIC,3,A. naeslundii,5,4.0
Dysbiotic,HOBIC,3,A. naeslundii,6,5.0
Dysbiotic,HOBIC,3,A. naeslundii,7,7.0
Dysbiotic,HOBIC,3,A. naeslundii,8,8.5
Dysbiotic,HOBIC,3,A. naeslundii,9,10.0
Dysbiotic,HOBIC,3,V. parvula,1,50.0
Dysbiotic,HOBIC,3,V. parvula,2,59.7
Dysbiotic,HOBIC,3,V. parvula,3,66.0
Dysbiotic,HOBIC,3,V. parvula,4,73.8
Dysbiotic,HOBIC,3,V. parvula,5,78.0
Dysbiotic,HOBIC,3,V. parvula,6,82.2
Dysbiotic,HOBIC,3,V. parvula,7,87.0
Dysbiotic,HOBIC,3,V. parvula,8,93.3
Dysbiotic,HOBIC,3,V. parvula,9,94.0
Dysbiotic,HOBIC,3,F. nucleatum,1,0.0
Dysbiotic,HOBIC,3,F. nucleatum,2,0.20000000000000018
Dysbiotic,HOBIC,3,F. nucleatum,3,2.0
Dysbiotic,HOBIC,3,F. nucleatum,4,3.8
Dysbiotic,HOBIC,3,F. nucleatum,5,5.0
Dysbiotic,HOBIC,3,F. nucleatum,6,6.2
Dysbiotic,HOBIC,3,F. nucleatum,7,8.0
Dysbiotic,HOBIC,3,F. nucleatum,8,9.8
Dysbiotic,HOBIC,3,F. nucleatum,9,12.0
Dysbiotic,HOBIC,3,P. gingivalis_W83,1,0.0
Dysbiotic,HOBIC,3,P. gingivalis_W83,2,0.0
Dysbiotic,HOBIC,3,P. gingivalis_W83,3,1.0
Dysbiotic,HOBIC,3,P. gingivalis_W83,4,2.2
Dysbiotic,HOBIC,3,P. gingivalis_W83,5,3.0
Dysbiotic,HOBIC,3,P. gingivalis_W83,6,3.8
Dysbiotic,HOBIC,3,P. gingivalis_W83,7,5.0
Dysbiotic,HOBIC,3,P. gingivalis_W83,8,6.2
Dysbiotic,HOBIC,3,P. gingivalis_W83,9,8.0
Dysbiotic,HOBIC,6,S. oralis,1,1.0
Dysbiotic,HOBIC,6,S. oralis,2,0.6000000000000001
Dysbiotic,HOBIC,6,S. oralis,3,3.0
Dysbiotic,HOBIC,6,S. oralis,4,5.4
Dysbiotic,HOBIC,6,S. oralis,5,7.0
Dysbiotic,HOBIC,6,S. oralis,6,8.6
Dysbiotic,HOBIC,6,S. oralis,7,11.0
Dysbiotic,HOBIC,6,S. oralis,8,13.4
Dysbiotic,HOBIC,6,S. oralis,9,16.0
Dysbiotic,HOBIC,6,A. naeslundii,1,2.0
Dysbiotic,HOBIC,6,A. naeslundii,2,1.7000000000000002
Dysbiotic,HOBIC,6,A. naeslundii,3,5.0
Dysbiotic,HOBIC,6,A. naeslundii,4,7.8
Dysbiotic,HOBIC,6,A. naeslundii,5,10.0
Dysbiotic,HOBIC,6,A. naeslundii,6,12.2
Dysbiotic,HOBIC,6,A. naeslundii,7,16.0
Dysbiotic,HOBIC,6,A. naeslundii,8,19.3
Dysbiotic,HOBIC,6,A. naeslundii,9,22.0
Dysbiotic,HOBIC,6,V. parvula,1,30.0
Dysbiotic,HOBIC,6,V. parvula,2,40.2
Dysbiotic,HOBIC,6,V. parvula,3,48.0
Dysbiotic,HOBIC,6,V. parvula,4,57.8
Dysbiotic,HOBIC,6,V. parvula,5,63.0
Dysbiotic,HOBIC,6,V. parvula,6,68.2
Dysbiotic,HOBIC,6,V. parvula,7,74.0
Dysbiotic,HOBIC,6,V. parvula,8,81.8
Dysbiotic,HOBIC,6,V. parvula,9,84.0
Dysbiotic,HOBIC,6,F. nucleatum,1,1.0
Dysbiotic,HOBIC,6,F. nucleatum,2,0.0
Dysbiotic,HOBIC,6,F. nucleatum,3,3.0
Dysbiotic,HOBIC,6,F. nucleatum,4,6.0
Dysbiotic,HOBIC,6,F. nucleatum,5,8.0
Dysbiotic,HOBIC,6,F. nucleatum,6,10.0
Dysbiotic,HOBIC,6,F. nucleatum,7,13.0
Dysbiotic,HOBIC,6,F. nucleatum,8,16.0
Dysbiotic,HOBIC,6,F. nucleatum,9,18.0
Dysbiotic,HOBIC,6,P. gingivalis_W83,1,0.0
Dysbiotic,HOBIC,6,P. gingivalis_W83,2,0.20000000000000018
Dysbiotic,HOBIC,6,P. gingivalis_W83,3,2.0
Dysbiotic,HOBIC,6,P. gingivalis_W83,4,3.8
Dysbiotic,HOBIC,6,P. gingivalis_W83,5,5.0
Dysbiotic,HOBIC,6,P. gingivalis_W83,6,6.2
Dysbiotic,HOBIC,6,P. gingivalis_W83,7,8.0
Dysbiotic,HOBIC,6,P. gingivalis_W83,8,9.8
Dysbiotic,HOBIC,6,P. gingivalis_W83,9,12.0
Dysbiotic,HOBIC,10,S. oralis,1,1.0
Dysbiotic,HOBIC,10,S. oralis,2,0.6000000000000001
Dysbiotic,HOBIC,10,S. oralis,3,3.0
Dysbiotic,HOBIC,10,S. oralis,4,5.4
Dysbiotic,HOBIC,10,S. oralis,5,7.0
Dysbiotic,HOBIC,10,S. oralis,6,8.6
Dysbiotic,HOBIC,10,S. oralis,7,11.0
Dysbiotic,HOBIC,10,S. oralis,8,13.4
Dysbiotic,HOBIC,10,S. oralis,9,16.0
Dysbiotic,HOBIC,10,A. naeslundii,1,3.0
Dysbiotic,HOBIC,10,A. naeslundii,2,5.8
Dysbiotic,HOBIC,10,A. naeslundii,3,10.0
Dysbiotic,HOBIC,10,A. naeslundii,4,14.2
Dysbiotic,HOBIC,10,A. naeslundii,5,17.0
Dysbiotic,HOBIC,10,A. naeslundii,6,19.8
Dysbiotic,HOBIC,10,A. naeslundii,7,24.0
Dysbiotic,HOBIC,10,A. naeslundii,8,28.2
Dysbiotic,HOBIC,10,A. naeslundii,9,32.0
Dysbiotic,HOBIC,10,V. parvula,1,20.0
Dysbiotic,HOBIC,10,V. parvula,2,29.4
Dysbiotic,HOBIC,10,V. parvula,3,36.0
Dysbiotic,HOBIC,10,V. parvula,4,43.6
Dysbiotic,HOBIC,10,V. parvula,5,48.0
Dysbiotic,HOBIC,10,V. parvula,6,52.4
Dysbiotic,HOBIC,10,V. parvula,7,58.0
Dysbiotic,HOBIC,10,V. parvula,8,64.6
Dysbiotic,HOBIC,10,V. parvula,9,70.0
Dysbiotic,HOBIC,10,F. nucleatum,1,2.0
Dysbiotic,HOBIC,10,F. nucleatum,2,2.4000000000000004
Dysbiotic,HOBIC,10,F. nucleatum,3,6.0
Dysbiotic,HOBIC,10,F. nucleatum,4,10.6
Dysbiotic,HOBIC,10,F. nucleatum,5,13.0
Dysbiotic,HOBIC,10,F. nucleatum,6,15.4
Dysbiotic,HOBIC,10,F. nucleatum,7,18.0
Dysbiotic,HOBIC,10,F. nucleatum,8,21.6
Dysbiotic,HOBIC,10,F. nucleatum,9,24.0
Dysbiotic,HOBIC,10,P. gingivalis_W83,1,1.0
Dysbiotic,HOBIC,10,P. gingivalis_W83,2,0.30000000000000027
Dysbiotic,HOBIC,10,P. gingivalis_W83,3,3.0
Dysbiotic,HOBIC,10,P. gingivalis_W83,4,6.2
Dysbiotic,HOBIC,10,P. gingivalis_W83,5,8.0
Dysbiotic,HOBIC,10,P. gingivalis_W83,6,9.8
Dysbiotic,HOBIC,10,P. gingivalis_W83,7,12.0
Dysbiotic,HOBIC,10,P. gingivalis_W83,8,14.7
Dysbiotic,HOBIC,10,P. gingivalis_W83,9,18.0
Dysbiotic,HOBIC,15,S. oralis,1,1.0
Dysbiotic,HOBIC,15,S. oralis,2,0.20000000000000018
Dysbiotic,HOBIC,15,S. oralis,3,2.0
Dysbiotic,HOBIC,15,S. oralis,4,3.8
Dysbiotic,HOBIC,15,S. oralis,5,5.0
Dysbiotic,HOBIC,15,S. oralis,6,6.2
Dysbiotic,HOBIC,15,S. oralis,7,8.0
Dysbiotic,HOBIC,15,S. oralis,8,9.8
Dysbiotic,HOBIC,15,S. oralis,9,12.0
Dysbiotic,HOBIC,15,A. naeslundii,1,5.0
Dysbiotic,HOBIC,15,A. naeslundii,2,8.3
Dysbiotic,HOBIC,15,A. naeslundii,3,14.0
Dysbiotic,HOBIC,15,A. naeslundii,4,20.2
Dysbiotic,HOBIC,15,A. naeslundii,5,24.0
Dysbiotic,HOBIC,15,A. naeslundii,6,27.8
Dysbiotic,HOBIC,15,A. naeslundii,7,33.0
Dysbiotic,HOBIC,15,A. naeslundii,8,38.7
Dysbiotic,HOBIC,15,A. naeslundii,9,44.0
Dysbiotic,HOBIC,15,V. parvula,1,12.0
Dysbiotic,HOBIC,15,V. parvula,2,19.4
Dysbiotic,HOBIC,15,V. parvula,3,26.0
Dysbiotic,HOBIC,15,V. parvula,4,33.6
Dysbiotic,HOBIC,15,V. parvula,5,38.0
Dysbiotic,HOBIC,15,V. parvula,6,42.4
Dysbiotic,HOBIC,15,V. parvula,7,48.0
Dysbiotic,HOBIC,15,V. parvula,8,54.6
Dysbiotic,HOBIC,15,V. parvula,9,60.0
Dysbiotic,HOBIC,15,F. nucleatum,1,3.0
Dysbiotic,HOBIC,15,F. nucleatum,2,5.8
Dysbiotic,HOBIC,15,F. nucleatum,3,10.0
Dysbiotic,HOBIC,15,F. nucleatum,4,15.2
Dysbiotic,HOBIC,15,F. nucleatum,5,18.0
Dysbiotic,HOBIC,15,F. nucleatum,6,20.8
Dysbiotic,HOBIC,15,F. nucleatum,7,24.0
Dysbiotic,HOBIC,15,F. nucleatum,8,28.2
Dysbiotic,HOBIC,15,F. nucleatum,9,34.0
Dysbiotic,HOBIC,15,P. gingivalis_W83,1,1.0
Dysbiotic,HOBIC,15,P. gingivalis_W83,2,0.0
Dysbiotic,HOBIC,15,P. gingivalis_W83,3,3.0
Dysbiotic,HOBIC,15,P. gingivalis_W83,4,6.0
Dysbiotic,HOBIC,15,P. gingivalis_W83,5,8.0
Dysbiotic,HOBIC,15,P. gingivalis_W83,6,10.0
Dysbiotic,HOBIC,15,P. gingivalis_W83,7,13.0
Dysbiotic,HOBIC,15,P. gingivalis_W83,8,16.0
Dysbiotic,HOBIC,15,P. gingivalis_W83,9,18.0
Dysbiotic,HOBIC,21,S. oralis,1,0.0
Dysbiotic,HOBIC,21,S. oralis,2,0.0
Dysbiotic,HOBIC,21,S. oralis,3,1.0
Dysbiotic,HOBIC,21,S. oralis,4,2.2
Dysbiotic,HOBIC,21,S. oralis,5,3.0
